Entrada;Resultado PD;Tempo PD;Memoria PD (bytes);Resultado Guloso;Tempo Guloso;Memoria Guloso (bytes);
5;-2;0,000009;172;-2;0,000001;36;
10;2;0,000008;512;-1;0,000000;36;
15;-3;0,000009;1052;-3;0,000001;36;
20;13;0,000014;1792;-8;0,000001;36;
25;5;0,000017;2732;-10;0,000000;36;
30;3;0,000020;3872;-3;0,000001;36;
35;16;0,000025;5212;1;0,000001;36;
40;5;0,000028;6752;-19;0,000001;36;
45;21;0,000035;8492;-9;0,000001;36;
50;16;0,000040;10432;-5;0,000001;36;
55;14;0,000048;12572;-22;0,000001;36;
60;21;0,000053;14912;-6;0,000001;36;
65;16;0,000063;17452;-23;0,000001;36;
70;20;0,000072;20192;-25;0,000002;36;
75;21;0,000082;23132;-33;0,000001;36;
80;40;0,000078;26272;-8;0,000001;36;
85;17;0,000099;29612;-46;0,000001;36;
90;27;0,000114;33152;-39;0,000002;36;
95;22;0,000100;36892;-23;0,000001;36;
100;14;0,000141;40832;-22;0,000001;36;
105;45;0,000153;44972;-27;0,000002;36;
110;37;0,000157;49312;-11;0,000002;36;
115;38;0,000174;53852;-40;0,000002;36;
120;39;0,000198;58592;-18;0,000002;36;
125;37;0,000188;63532;-26;0,000002;36;
130;32;0,000225;68672;-25;0,000002;36;
135;51;0,000241;74012;-24;0,000002;36;
140;58;0,000211;79552;-14;0,000002;36;
145;38;0,000233;85292;-19;0,000002;36;
150;42;0,000311;91232;-57;0,000002;36;
155;58;0,000315;97372;-35;0,000003;36;
160;71;0,000335;103712;-43;0,000003;36;
165;84;0,000358;110252;0;0,000003;36;
170;52;0,000371;116992;-44;0,000003;36;
175;59;0,000386;123932;-40;0,000003;36;
180;72;0,000423;131072;-24;0,000003;36;
185;49;0,000369;138412;-89;0,000003;36;
190;89;0,000403;145952;-25;0,000003;36;
195;51;0,000431;153692;-42;0,000003;36;
200;61;0,000531;161632;-68;0,000004;36;
205;68;0,000436;169772;-46;0,000003;36;
210;75;0,000491;178112;-48;0,000003;36;
215;109;0,000507;186652;-65;0,000003;36;
220;83;0,000519;195392;-76;0,000003;36;
225;84;0,000530;204332;-75;0,000003;36;
230;76;0,000573;213472;-62;0,000004;36;
235;83;0,000696;222812;-37;0,000004;36;
240;99;0,000736;232352;-30;0,000004;36;
245;88;0,000717;242092;-74;0,000004;36;
250;83;0,000755;252032;-88;0,000004;36;
255;96;0,000852;262172;-66;0,000005;36;
260;82;0,000804;272512;-59;0,000003;36;
265;101;0,000768;283052;-70;0,000004;36;
270;102;0,000962;293792;-54;0,000004;36;
275;118;0,000857;304732;-53;0,000004;36;
280;113;0,001036;315872;-67;0,000004;36;
285;99;0,001048;327212;-69;0,000005;36;
